name,type,address,location,pname,cityname,adname
瑞幸咖啡(虹桥总部一号店),餐饮服务;咖啡厅;咖啡厅,紫秀路100号虹桥总部5号楼一层,"121.382358,31.180088",上海市,上海市,闵行区
瑞幸咖啡(宝燕商城虹中路店),餐饮服务;餐饮相关场所;餐饮相关,虹中路535号宝燕商城一层107号,"121.377965,31.187242",上海市,上海市,闵行区
瑞幸咖啡,餐饮服务;咖啡厅;咖啡厅,莲花路远中产业园-三期,"121.393274,31.171669",上海市,上海市,徐汇区
瑞幸咖啡(上海爱琴海店),餐饮服务;咖啡厅;咖啡厅,虹井路120弄5号爱琴海购物公园一层B104铺,"121.372181,31.174602",上海市,上海市,闵行区
瑞幸咖啡(漕河泾生活二次方店),餐饮服务;咖啡厅;咖啡厅,桂平路391号1号楼漕河泾生活二次方二层214铺位,"121.403229,31.164600",上海市,上海市,徐汇区
瑞幸咖啡(泓茂中心店),餐饮服务;咖啡厅;咖啡厅,万源路2138号泓茂中心一层103单元,"121.387947,31.168526",上海市,上海市,闵行区
瑞幸咖啡(燎申虹桥国际中心店),餐饮服务;餐饮相关场所;餐饮相关,虹井路288号燎申虹桥国际中心B座一层大堂,"121.371388,31.176629",上海市,上海市,闵行区
瑞幸咖啡(吴中路店),餐饮服务;咖啡厅;咖啡厅,吴中路1439号莱茵虹景中心一层大堂,"121.373370,31.171971",上海市,上海市,闵行区
瑞幸咖啡(腾骏德必易园店),餐饮服务;餐饮相关场所;餐饮相关,古美路1658号6B栋一层101室,"121.396195,31.167158",上海市,上海市,徐汇区
瑞幸咖啡(绿地中庚漫游城店),餐饮服务;咖啡厅;咖啡厅,闵虹路8号中庚绿地优鲜店负一层111室,"121.397861,31.131332",上海市,上海市,闵行区
瑞幸咖啡(科技绿洲广场店),餐饮服务;咖啡厅;咖啡厅,虹桥镇宜山路2008号科技绿洲三期生活二次方精选食社B1层美食广场,"121.385445,31.166138",上海市,上海市,闵行区
瑞幸咖啡(百联南方购物中心店),餐饮服务;餐饮相关场所;餐饮相关,沪闵路7388号百联南方购物中心F2,"121.400784,31.131690",上海市,上海市,闵行区
luckin?coffee(七宝宝龙店),餐饮服务;咖啡厅;咖啡厅,七宝宝龙广场T3号楼1层T3-45,"121.353847,31.159550",上海市,上海市,闵行区
瑞幸咖啡(田林路店),餐饮服务;咖啡厅;咖啡厅,田林路漕河泾现代服务园大厦东北侧约30米,"121.398738,31.165559",上海市,上海市,徐汇区
瑞幸咖啡(古美爵士文化广场店),餐饮服务;咖啡厅;咖啡厅,顾戴路1166号古美爵士文化广场,"121.386101,31.139264",上海市,上海市,闵行区
瑞幸咖啡(七宝华润万家店)(装修中),餐饮服务;咖啡厅;咖啡厅,漕宝路3459号B1层麦尚城商场西楼2层JT216-01,"121.349200,31.155625",上海市,上海市,闵行区
瑞幸咖啡(上海今日头条店),餐饮服务;餐饮相关场所;餐饮相关,宜山路1999号科技绿洲B区24号楼字节跳动科技15层,"121.387583,31.166751",上海市,上海市,闵行区
瑞幸咖啡(九星宝龙中心店),餐饮服务;咖啡厅;咖啡厅,新镇路1509弄1号九星集团大厦一层T8,"121.356637,31.158861",上海市,上海市,闵行区
瑞幸咖啡(万科虹桥云店),餐饮服务;咖啡厅;咖啡厅,新龙路1333弄25号万科七宝国际一期一栋一层,"121.337025,31.151649",上海市,上海市,闵行区
瑞幸咖啡(莲花国际广场店),餐饮服务;餐饮相关场所;餐饮相关,沪闵路7866号莲花国际广场负一层B1-24号,"121.402448,31.134062",上海市,上海市,闵行区
瑞幸咖啡(中展大厦店),餐饮服务;咖啡厅;咖啡厅,顾戴路2959号中展大厦一层大堂,"121.354549,31.127469",上海市,上海市,闵行区
瑞幸咖啡(凤凰大楼店),餐饮服务;咖啡厅;咖啡厅,漕田洲路漕河泾凤凰园二次方食堂二层,"121.397191,31.162352",上海市,上海市,徐汇区
瑞幸咖啡(宝虹中心店),餐饮服务;咖啡厅;咖啡厅,中春路7755号宝虹中心一层大堂,"121.341263,31.146153",上海市,上海市,闵行区
瑞幸咖啡(巴黎春天七宝店),餐饮服务;咖啡厅;咖啡厅,七宝镇七莘路3755号巴黎春天一楼,"121.341540,31.165608",上海市,上海市,闵行区
瑞幸咖啡(七宝华润万家店),餐饮服务;咖啡厅;咖啡厅,七莘路万泰公寓西侧约50米(七宝地铁站6号口步行390米),"121.346375,31.157880",上海市,上海市,闵行区
瑞幸咖啡(维璟广场店),餐饮服务;咖啡厅;咖啡厅,七莘路1507号维璟广场B1层G-super内,"121.363054,31.131301",上海市,上海市,闵行区
瑞幸咖啡(歌斐中心店),餐饮服务;咖啡厅;咖啡厅,蒙自路757号上海歌斐中心一层102A1单元,"121.482071,31.197774",上海市,上海市,黄浦区
