store_desc,store_desc1,address,coor_x,coor_y
北京市丰台区海底捞火锅(方庄分店),北京市丰台区海底捞火锅(方庄分店),北京市丰台区蒲方路26号,116.434216,39.871608
北京市朝阳区海底捞火锅(富力广场店),北京市朝阳区海底捞火锅(富力广场店),北京市朝阳区东三环中路65号北京富力广场购物中心F4,116.467073,39.902161
北京市东城区海底捞火锅(王府井银泰in88店),北京市东城区海底捞火锅(王府井银泰in88店),北京市东城区王府井大街88号王府井银泰in88商场三层北侧311号,116.418036,39.922861
北京市东城区海底捞火锅(王府井丹耀店),北京市东城区海底捞火锅(王府井丹耀店),北京市东城区王府井大街176号丹耀大厦三层,116.417961,39.918823
北京市朝阳区海底捞火锅(悠唐店),北京市朝阳区海底捞火锅(悠唐店),北京市朝阳区丰路悠唐购物中心5层501内509号,116.446916,39.927204
北京市朝阳区海底捞火锅(中骏世界城店),北京市朝阳区海底捞火锅(中骏世界城店),北京市朝阳区金汇路6~9号楼中骏世界城E座负一层B1~04号,116.458492,39.923799
北京市朝阳区海底捞火锅(三里屯店),北京市朝阳区海底捞火锅(三里屯店),北京市朝阳区三里屯工体北路8号院5号楼1层,116.459867,39.936942
北京市朝阳区海底捞火锅(太古里3.3店),北京市朝阳区海底捞火锅(太古里3.3店),北京市朝阳区三里屯路33号3·3大厦北区3层3006号商铺,116.461295,39.942532
北京市西城区海底捞火锅(西单店),北京市西城区海底捞火锅(西单店),北京市西城区西单北大街109号西单婚庆大楼7层,116.379509,39.919996
北京市西城区海底捞火锅(西直门凯德MALL),北京市西城区海底捞火锅(西直门凯德MALL),北京市西城区西直门外大街1号凯德MALLF6,116.359332,39.946889
广州市从化区海底捞火锅(欣荣广场店),广州市从化区海底捞火锅(欣荣广场店),广东省广州市从化区江埔街从城大道113号201铺,113.595285,23.539037
广州市增城区海底捞火锅(东汇城店),广州市增城区海底捞火锅(东汇城店),广东省广州市增城区荔城街道观翠路21号东汇城1-2楼,113.825378,23.290905
广州市白云区海底捞火锅(嘉禾金铂天地店),广州市白云区海底捞火锅(嘉禾金铂天地店),广东省广州市白云区鹤龙二路85号金铂天地四层423a商铺,113.28777,23.245294
广州市白云区海底捞火锅(悦和方店),广州市白云区海底捞火锅(悦和方店),广州市白云区太和镇龙悦新街156号悦和方广场四层05~06-17号,113.328723,23.282581
广州市花都区海底捞火锅(茶园路店),广州市花都区海底捞火锅(茶园路店),广东省广州市花都区茶园路15号3层3A001号商铺,113.220856,23.398325
广州市花都区海底捞火锅(星光PLUS店),广州市花都区海底捞火锅(星光PLUS店),广东省广州市花都区建设北路72号星光plusa16楼,113.21107,23.391865
广州市花都区海底捞火锅(雅悦城店),广州市花都区海底捞火锅(雅悦城店),广东省广州市花都区秀全街道锦城社区永发路14号花都雅乐城F5,113.196469,23.429337
广州市荔湾区海底捞火锅(荔胜广场店),广州市荔湾区海底捞火锅(荔胜广场店),广州市荔湾区花地大道中66号广百广场F6,113.239816,23.084715
广州市白云区海底捞火锅(金沙洲永旺店),广州市白云区海底捞火锅(金沙洲永旺店),广东省广州市白云区沙凤三路1号之1~2号4层434铺,113.20166,23.155723
广州市南沙区海底捞火锅(南沙万达店),广州市南沙区海底捞火锅(南沙万达店),广东省广州市南沙区南沙街道蕉门河社区双山大道3号万达广场F3,113.53779,22.80039
广州市增城区海底捞火锅(金海岸城市广场店),广州市增城区海底捞火锅(金海岸城市广场店),广州市增城区港口大道332号金海岸城市广场F4,113.609288,23.133668
广州市增城区海底捞火锅(新塘万达店),广州市增城区海底捞火锅(新塘万达店),广东省广州市增城区新塘镇顺欣社区新福路9号万达广场F4,113.62476,23.15779
广州市黄埔区海底捞火锅(南岗万达店),广州市黄埔区海底捞火锅(南岗万达店),广东省广州市黄埔区南岗街道康南社区康富路16号万达广场F4,113.556996,23.105294
广州市番禺区海底捞火锅(番禺建华汇店),广州市番禺区海底捞火锅(番禺建华汇店),广东省广州市番禺区建华路11号建华汇商业中心2层210铺,113.322836,23.030696
广州市番禺区海底捞火锅(奥园国际中心),广州市番禺区海底捞火锅(奥园国际中心),北京市朝阳区林萃东路2号院国奥中心东区a座3层,116.387671,40.015899
广州市番禺区海底捞火锅(雄峰城店),广州市番禺区海底捞火锅(雄峰城店),广东省广州市番禺区钟村镇105国道雄峰城F1雄峰城F1,113.30941,22.977524
广州市番禺区海底捞火锅(祈福俱乐部店),广州市番禺区海底捞火锅(祈福俱乐部店),广东省广州市番禺区福华路35号祈福新村度假俱乐部2楼201号铺,113.341412,22.976187
